front,back,tags
"What is **At-least-once delivery**?","Message may arrive multiple times.","transactional-outbox|terminology"
"What is **Effectively-once**?","At-least-once + idempotent consumer.","transactional-outbox|terminology"
"What is **Ordering key**?","Partition key for ordered delivery per aggregate.","transactional-outbox|terminology"
"What is **Poison message**?","Undeliverable outbox row—DLQ or skip policy.","transactional-outbox|terminology"
"Summarize the core idea of **Transactional Outbox**.","The **transactional outbox** pattern solves the **dual-write problem**: an application must atomically update a database and publish a message to a broker, but these are two different systems that cannot share a single local ACID transaction without brittle XA/2PC. The pattern writes the message to an **outbox table** in the **same database transaction** as the business data change. A separate **message relay** process reads the outbox and publishes to the message broker, marking rows as dispatc","transactional-outbox|summary"
"What is **Coordinator**?","Transaction manager initiating 2PC.","two-phase-commit|terminology"
"What is **Participant**?","Resource manager (database, queue) in transaction.","two-phase-commit|terminology"
"What is **Prepare (vote) phase**?","Phase 1: can you commit?","two-phase-commit|terminology"
"What is **Commit phase**?","Phase 2: global decision applied.","two-phase-commit|terminology"
"What is **In-doubt / prepared**?","Participant voted YES, awaiting coordinator decision.","two-phase-commit|terminology"
"What is **Transaction log**?","Durable record of prepare and commit/abort.","two-phase-commit|terminology"
"What is **Blocking**?","Prepared participant cannot progress if coordinator unavailable.","two-phase-commit|terminology"
"What is **Heuristic decision**?","Participant unilaterally commits/aborts—breaks atomicity.","two-phase-commit|terminology"
"What is **XA**?","X/Open standard for distributed transaction interfaces.","two-phase-commit|terminology"
"What is **3PC**?","Three-Phase Commit—reduces blocking with extra phase under assumptions.","two-phase-commit|terminology"
"What is **TCC**?","Try-Confirm-Cancel—application-level compensation pattern (related).","two-phase-commit|terminology"
"Summarize the core idea of **Two-Phase Commit (2PC)**.","**Two-Phase Commit (2PC)** is a distributed atomic commit protocol that coordinates multiple **participants** (resource managers) through a **coordinator** to ensure all participants either **commit** or **abort** a transaction together. Phase 1 (**prepare**): the coordinator asks each participant if it can commit; participants respond **YES** (vote commit) or **NO** (vote abort) after persisting a **prepare record** to durable storage. Phase 2 (**commit/abort**): if all vote YES, the coordinato","two-phase-commit|summary"
"What is **B-tree**?","Self-balancing tree; keys and records may appear in internal nodes","b-trees|terminology"
"What is **B+ tree**?","Records only in leaves; internal nodes are routing separators","b-trees|terminology"
"What is **Fan-out**?","Number of child pointers per internal node","b-trees|terminology"
"What is **Root / internal / leaf**?","Node types by position in tree","b-trees|terminology"
"What is **Page split**?","Node overflows → split into two siblings, promote separator","b-trees|terminology"
"What is **Page merge**?","Underflow after delete → merge or borrow from sibling","b-trees|terminology"
"What is **Clustered index**?","Leaf stores row data ordered by PK (InnoDB)","b-trees|terminology"
"What is **Secondary index**?","Leaf stores PK or row pointer to heap","b-trees|terminology"
"What is **Fill factor**?","Target occupancy after split to delay next split","b-trees|terminology"
"What is **Crabbing**?","Latch child then release parent when safe (concurrency)","b-trees|terminology"
"What is **Index-only scan**?","Query satisfied from index leaves without heap fetch","b-trees|terminology"
"Summarize the core idea of **B-Trees**.","**B-trees** (and the ubiquitous **B+ trees** used in production databases) are balanced tree data structures optimized for **block-oriented storage**. Each node occupies one or more disk pages; keys are kept sorted within nodes; tree height remains logarithmic in the number of keys because nodes have high **fan-out** (hundreds of keys per page). Reads perform a root-to-leaf descent with typically three to four I/Os for billions of keys. Writes update leaf pages in place, triggering **splits** an","b-trees|summary"
"What is **Memtable**?","Mutable in-memory write buffer","lsm-trees|terminology"
"What is **WAL / memtable log**?","Durability for memtable before flush","lsm-trees|terminology"
"What is **SSTable**?","Immutable sorted key-value file on disk","lsm-trees|terminology"
"What is **Flush**?","Memtable → new SSTable (often L0)","lsm-trees|terminology"
"What is **Compaction**?","Merge SSTables; discard superseded keys/tombstones","lsm-trees|terminology"
"What is **L0, L1, …**?","Levels with increasing size and decreasing overlap (leveled)","lsm-trees|terminology"
"What is **Tombstone**?","Delete marker removed during compaction","lsm-trees|terminology"
"What is **Bloom filter**?","Probabilistic ""key not in file"" test per SSTable","lsm-trees|terminology"
"What is **Write amplification**?","Bytes written / logical bytes ingested","lsm-trees|terminology"
"What is **Read amplification**?","Files/blocks read per logical GET","lsm-trees|terminology"
"What is **Space amplification**?","On-disk size / live data size","lsm-trees|terminology"
"What is **Compaction debt**?","Backlog of files needing merge","lsm-trees|terminology"
"What is **Write stall**?","Engine throttles writes when L0 or compaction limits exceeded","lsm-trees|terminology"
"Summarize the core idea of **LSM Trees**.","A **Log-Structured Merge-tree (LSM-tree)** is a storage structure that converts random writes into **sequential appends** by buffering updates in memory (**memtable**), flushing immutable sorted files (**SSTables**) to disk, and periodically **compacting** overlapping files into larger sorted runs. Reads consult the memtable and multiple levels of SSTables, often filtered by **Bloom filters** to skip irrelevant files. The design trades **read amplification** and **compaction overhead** for **hig","lsm-trees|summary"
